crop_id,intercrop,season,sos_actual,yield_acre,yield_kg_ha,yield_kg_ha_sqrt,num_imgs,gcvi_max,ndvi_max,evi_max,ndre1_max,ndwi_max,elevation,slope,aspect,aez,longitude,latitude,season_ab,lst_avg_mean,precip_sum
oaf_53465,0.0,2023_Season_A,20220901,2044.9506000000001,5053.0729326,71.08496980796996,8.0,5.091185092926025,0.8243058323860168,0.6485692858695984,0.5882702469825745,-0.379970520734787,1770.0,3.818559408187866,194.04104614257812,6.0,29.694395065307617,-1.5290673971176147,1.0,20.50196647644043,660.2504272460938
oaf_58952,1.0,2023_Season_A,20220901,14.046704292297363,34.709405584,5.891468881696652,7.0,2.9014599323272705,0.6148036122322083,0.33225879073143005,0.39853745698928833,-0.43711844086647034,1744.0,11.47453498840332,118.58624267578125,2.0,28.921485900878906,-2.5692267417907715,1.0,23.901538848876953,914.3934326171875
oaf_58998,1.0,2023_Season_A,20220901,1140.0484619140625,2817.0598435,53.075981794970126,9.0,2.5349717140197754,0.4653739631175995,0.27408352494239807,0.31743118166923523,-0.3355119526386261,1627.0,5.552633762359619,270.0,2.0,28.922473907470703,-2.4607999324798584,1.0,22.6534481048584,886.21044921875
oaf_49333,0.0,2023_Season_A,20220901,348.76434326171875,861.79668414,29.35637382477611,5.0,1.966002345085144,0.46783897280693054,0.3623136579990387,0.3678309917449951,-0.43018192052841187,2187.0,15.564760208129883,324.45159912109375,6.0,30.01329803466797,-1.6109038591384888,1.0,17.420351028442383,584.2642211914062
oaf_54949,0.0,2023_Season_A,20220901,877.4368900000001,2168.14655519,46.56336065180433,4.0,3.357954740524292,0.6503496766090393,0.48332613706588745,0.38155096769332886,-0.5231866836547852,2432.0,30.413827896118164,65.56616973876953,5.0,29.512487411499023,-1.755083441734314,1.0,14.777575492858887,646.5029907226562
oaf_53640,0.0,2023_Season_A,20220901,1340.891845703125,3313.3436378000006,57.56165075638468,10.0,4.569387435913086,0.8186889886856079,0.6508001089096069,0.5496137738227844,-0.5480984449386597,1729.0,1.855010747909546,90.0,5.0,29.58794593811035,-1.5481116771697998,1.0,19.468246459960938,708.7091064453125
oaf_59281,1.0,2023_Season_A,20220901,998.2113037109375,2466.5801223000003,49.66467680655941,7.0,3.7553958892822266,0.6713021397590637,0.39711326360702515,0.4373471140861511,-0.4248875677585602,1560.0,10.736979484558105,109.96690368652344,2.0,28.948074340820312,-2.4048349857330322,1.0,21.954666137695312,843.68994140625
oaf_60282,1.0,2023_Season_A,20220901,793.0360700000001,1959.5921289700004,44.26728056894844,7.0,3.3875744342803955,0.6270783543586731,0.41027870774269104,0.41744327545166016,-0.47905686497688293,1570.0,2.0732929706573486,333.4202880859375,9.0,30.27021598815918,-2.0496411323547363,1.0,23.91851043701172,474.8960266113281
oaf_50423,1.0,2023_Season_A,20220901,815.1516100000001,2014.2396283100004,44.88028106317963,11.0,4.1149420738220215,0.7428198456764221,0.4522513151168823,0.4487248957157135,-0.4345669448375702,1681.0,6.202186584472656,116.54330444335938,7.0,29.785573959350586,-2.4961936473846436,1.0,24.17388916015625,663.0836791992188
oaf_60326,0.0,2023_Season_A,20220901,1150.4512939453125,2842.7651623,53.31758773894408,8.0,4.528777122497559,0.7386877536773682,0.4971514344215393,0.47966304421424866,-0.43882545828819275,1550.0,7.8235249519348145,314.98187255859375,9.0,30.27021598815918,-2.0382325649261475,1.0,23.93412971496582,474.8960266113281
oaf_48757,0.0,2023_Season_A,20220901,1934.968994140625,4781.3083990000005,69.1470057124674,14.0,3.4217684268951416,0.6768784523010254,1.905300259590149,0.42790427803993225,-0.24809740483760834,1768.0,6.464860916137695,-0.0,9.0,30.321779251098633,-1.7036100625991821,1.0,22.532033920288086,473.5532531738281
oaf_52681,1.0,2023_Season_A,20220901,836.3611500000001,2066.6484016500003,45.460404767775664,20.0,4.076045513153076,0.7749757766723633,0.615254282951355,0.5307402610778809,-0.3261917531490326,1565.0,9.380633354187012,258.6982727050781,9.0,30.744436264038086,-2.210080146789551,1.0,23.309463500976562,481.1911315917969
oaf_53337,0.0,2023_Season_A,20220901,2166.010986328125,5352.213181,73.1588216211825,8.0,3.8963639736175537,0.7630114555358887,0.4644351601600647,0.5561976432800293,-0.3449438214302063,2252.0,32.875762939453125,202.07522583007812,4.0,29.562074661254883,-1.5532320737838745,1.0,17.526460647583008,725.3219604492188
oaf_47395,0.0,2023_Season_A,20220901,2396.7813,5922.446592300001,76.95743363899292,6.0,5.986891746520996,0.8605504631996155,0.7559182047843933,0.6003156304359436,-0.5041407942771912,1903.0,15.363518714904785,225.0094757080078,6.0,29.804079055786133,-1.473102331161499,1.0,17.02029037475586,688.6197509765625
oaf_55514,1.0,2023_Season_A,20220901,1221.2054443359375,3017.5985434000004,54.9326728222831,8.0,3.732323408126831,0.7427154779434204,0.4742300808429718,0.45912277698516846,-0.4990169107913971,1420.0,8.683627128601074,32.01374816894531,10.0,30.218292236328125,-1.4603462219238281,1.0,24.214284896850586,532.8276977539062
oaf_53466,0.0,2023_Season_A,20220901,1360.5606689453125,3361.9454897,57.98228599926016,9.0,4.184713363647461,0.8144329786300659,0.5665167570114136,0.5668912529945374,-0.3812754452228546,1846.0,3.3406782150268555,146.30087280273438,6.0,29.677776336669922,-1.499872088432312,1.0,20.761310577392578,707.308349609375
